词,出现次数,文档频次,文档概率
双飞,9,9,0.003901
绿水,9,9,0.003901
怅望,9,9,0.003901
公卿,9,9,0.003901
分明,9,9,0.003901
雨露,9,9,0.003901
鱼龙,9,9,0.003901
登临,9,9,0.003901
清晨,9,9,0.003901
依然,9,9,0.003901
竹林,9,9,0.003901
风雨,9,9,0.003901
寂寥,9,9,0.003901
生死,9,9,0.003901
衣冠,9,9,0.003901
草木,9,9,0.003901
逍遥,9,9,0.003901
闲居,9,9,0.003901
高秋,9,9,0.003901
富贵,9,9,0.003901
人心,9,9,0.003901
双阙,8,8,0.003468
昔年,8,8,0.003468
莺啼,8,8,0.003468
万古,8,8,0.003468
玲珑,8,8,0.003468
断肠,8,8,0.003468
门前,8,8,0.003468
千万,8,8,0.003468
黄河,8,8,0.003468
须臾,8,8,0.003468
当时,8,8,0.003468
走马,8,8,0.003468
君心,8,8,0.003468
百尺,8,8,0.003468
夜长,8,8,0.003468
笙歌,8,8,0.003468
日夕,8,8,0.003468
万物,8,8,0.003468
思归,8,8,0.003468
相知,8,8,0.003468
乔木,8,8,0.003468
主人,8,8,0.003468
南宫,8,8,0.003468
山路,8,8,0.003468
朝廷,8,8,0.003468
陌上,8,8,0.003468
河汉,8,8,0.003468
骨肉,8,7,0.003034
城中,8,8,0.003468
蹉跎,8,8,0.003468
功名,7,7,0.003034
烟波,7,7,0.003034
阳台,7,7,0.003034
马蹄,7,7,0.003034
池上,7,7,0.003034
风波,7,7,0.003034
婵娟,7,7,0.003034
有情,7,7,0.003034
汉宫,7,7,0.003034
罗衣,7,7,0.003034
路岐,7,7,0.003034
花枝,7,7,0.003034
庭前,7,7,0.003034
阙下,7,7,0.003034
暮雨,7,7,0.003034
潺湲,7,7,0.003034
惆怅,7,7,0.003034
相见,7,7,0.003034
日夜,7,7,0.003034
始知,7,7,0.003034
造化,7,7,0.003034
帝城,7,7,0.003034
风流,7,7,0.003034
咸阳,7,7,0.003034
丞相,7,7,0.003034
江流,7,7,0.003034
雨雪,7,7,0.003034
尚书,7,7,0.003034
送客,7,6,0.002601
白雪,6,6,0.002601
霓裳,6,6,0.002601
孤舟,6,6,0.002601
人归,6,6,0.002601
人情,6,6,0.002601
忆昔,6,6,0.002601
无情,6,6,0.002601
萧索,6,6,0.002601
羽翼,6,6,0.002601
金陵,6,6,0.002601
蛟龙,6,6,0.002601
野花,6,6,0.002601
垂杨,6,6,0.002601
萧萧,6,6,0.002601
朱门,6,6,0.002601
功成,6,6,0.002601
相看,6,6,0.002601
黄花,6,6,0.002601
还家,6,6,0.002601
对酒,6,5,0.002167
梦中,6,6,0.002601
相亲,6,6,0.002601
秋水,6,5,0.002167
临风,6,6,0.002601
十载,6,6,0.002601
苍生,6,6,0.002601
天台,6,6,0.002601
焚香,6,6,0.002601
茫茫,6,6,0.002601
心事,6,6,0.002601
人家,6,5,0.002167
泉声,6,6,0.002601
青苔,6,6,0.002601
东风,6,6,0.002601
相寻,6,6,0.002601
花间,6,6,0.002601
台上,6,6,0.002601
青草,6,6,0.002601
往来,5,5,0.002167
风飘,5,5,0.002167
风动,5,5,0.002167
九衢,5,5,0.002167
无力,5,5,0.002167
使君,5,5,0.002167
孤城,5,5,0.002167
潇湘,5,5,0.002167
叶落,5,5,0.002167
衣裳,5,5,0.002167
楼前,5,5,0.002167
古今,5,5,0.002167
东方,5,5,0.002167
月中,5,5,0.002167
东西,5,5,0.002167
旧游,5,5,0.002167
万事,5,5,0.002167
浮生,5,5,0.002167
经年,5,5,0.002167
山阴,5,5,0.002167
梧桐,5,5,0.002167
水流,5,5,0.002167
自古,5,5,0.002167
归心,5,5,0.002167
寒山,5,5,0.002167
百里,5,5,0.002167
莓苔,5,5,0.002167
去年,5,5,0.002167
林下,5,5,0.002167
万户,5,5,0.002167
十里,5,5,0.002167
残月,5,5,0.002167
太守,5,5,0.002167
得意,5,5,0.002167
世上,5,5,0.002167
故山,5,5,0.002167
可惜,4,4,0.001734
远近,4,4,0.001734
秋日,4,4,0.001734
千古,4,4,0.001734
丹砂,4,4,0.001734
江湖,4,4,0.001734
水声,4,4,0.001734
相对,4,4,0.001734
月色,4,4,0.001734
中原,4,4,0.001734
鸟飞,4,4,0.001734
看花,4,4,0.001734
山头,4,4,0.001734
黄昏,4,4,0.001734
南北,4,4,0.001734
从军,4,4,0.001734
歌声,4,4,0.001734
子孙,4,4,0.001734
巫峡,4,4,0.001734
道士,4,4,0.001734
逢人,4,4,0.001734
向东,4,4,0.001734
玉堂,4,4,0.001734
乾坤,4,4,0.001734
诸侯,4,4,0.001734
杜陵,4,4,0.001734
寥落,4,4,0.001734
秋天,4,4,0.001734
山高,4,4,0.001734
消息,4,3,0.001300
兄弟,4,4,0.001734
清净,4,4,0.001734
谢公,4,4,0.001734
霄汉,4,4,0.001734
两相,4,4,0.001734
东海,4,4,0.001734
武陵,4,4,0.001734
