phrase,degree,degree_centrality,betweenness,closeness,eigenvector,pagerank,frequency,probability,degree_centrality_rank,betweenness_rank,closeness_rank,eigenvector_rank,pagerank_rank,avg_rank
春色,31,0.049206349206349205,0.004518131576955107,1.2200701634851026,0.010428276072967023,0.0011940409123344278,31,0.013437,324.5,102.0,286.0,371.0,371.0,290.9
蛟龙,42,0.06666666666666667,6.931301048948107e-05,1.1820490208112302,0.03354240730754907,0.0017694256928785885,6,0.002601,251.0,456.0,350.0,169.0,233.0,291.8
莲花,36,0.05714285714285714,0.0006830359771536242,1.2093305332942066,0.0157676356662307,0.0014779723620965668,12,0.005202,286.5,303.0,299.0,294.0,285.0,293.5
日暮,29,0.046031746031746035,0.002694038576391517,1.2225787947666873,0.017013429418447114,0.001013527097944279,32,0.013871,340.5,151.0,281.0,274.0,424.0,294.1
相见,33,0.05238095238095238,0.0006132182602770837,1.2520973375700333,0.017181359264549945,0.0012673325162298528,7,0.003034,303.5,316.0,238.0,272.0,342.0,294.3
清风,34,0.05396825396825397,0.0008756655815479346,1.2038925561207845,0.0171104325431991,0.0013392764423551856,12,0.005202,295.0,276.0,311.0,273.0,317.0,294.4
百尺,37,0.05873015873015873,0.0002893649952473482,1.1892920448387265,0.027244925156427693,0.001540307228192462,8,0.003468,280.0,375.0,341.0,209.0,267.0,294.4
池上,35,0.05555555555555555,0.0002954214718920601,1.199609286113028,0.021933586930961903,0.0015009107332183778,7,0.003034,290.5,373.0,318.0,236.0,274.0,298.3
生涯,33,0.05238095238095238,0.0008475562397131024,1.2463688946429279,0.0129631183387158,0.0013110902525512698,10,0.004335,303.5,281.0,242.0,338.0,328.0,298.5
文章,33,0.05238095238095238,0.0007851188523457432,1.2193980518165084,0.014180358101271256,0.0013756355939468212,10,0.004335,303.5,289.0,287.0,320.0,305.0,300.9
城中,32,0.050793650793650794,0.0010893246187363835,1.2396940031414199,0.009628166210635156,0.001429789252038733,8,0.003468,314.5,256.0,256.0,390.0,293.0,301.9
徘徊,32,0.050793650793650794,0.0013395748689866334,1.2342351704915357,0.011433905629268912,0.0012615140874189417,14,0.006068,314.5,232.0,266.0,360.0,344.0,303.3
焚香,33,0.05238095238095238,0.0005316240610358257,1.241214132258423,0.013980460946272722,0.0013478919441969718,6,0.002601,303.5,322.0,254.0,325.0,314.0,303.7
来往,44,0.06984126984126984,1.5141191611779846e-05,1.120909102118182,0.03289972551765134,0.0020088622470349113,2,0.000867,241.0,503.0,421.0,174.0,180.0,303.8
黄河,35,0.05555555555555555,0.00022753846283258045,1.220186609219713,0.018813428707947392,0.0014083054917563612,8,0.003468,290.5,388.0,285.0,259.0,297.0,303.9
千年,33,0.05238095238095238,0.0017816135463194285,1.1948161456362993,0.010277544594877605,0.0013215834982412944,29,0.01257,303.5,200.0,329.0,376.0,323.0,306.3
回首,34,0.05396825396825397,0.0008277184747772983,1.2048037153484539,0.014068882675130127,0.0013334597883673746,16,0.006935,295.0,284.0,310.0,323.0,320.0,306.4
从军,40,0.06349206349206349,5.55177025765261e-05,1.1041828021951154,0.03173361063926857,0.00188388893402934,4,0.001734,259.5,460.0,436.0,181.0,204.0,308.1
白雪,32,0.050793650793650794,0.00048704166351225167,1.260050429738299,0.012233196649826918,0.001319252753328669,6,0.002601,314.5,333.0,224.0,345.0,324.0,308.1
古木,32,0.050793650793650794,0.0008164008164008163,1.2005357911200047,0.013414075978581538,0.0014167790459540608,10,0.004335,314.5,287.0,316.0,329.0,296.0,308.5
花前,37,0.05873015873015873,5.131181601769836e-05,1.175734389687261,0.03110213075859886,0.0016218379275952375,10,0.004335,280.0,464.0,359.0,188.0,253.0,308.8
相看,33,0.05238095238095238,0.0005993388346329522,1.1897283971685944,0.015592696700218416,0.0014721596579382694,6,0.002601,303.5,318.0,339.0,300.0,286.0,309.3
世上,31,0.049206349206349205,0.000516062280768163,1.2221938957770313,0.014587420338438592,0.00139023927816458,5,0.002167,324.5,325.0,282.0,316.0,301.0,309.7
日夜,29,0.046031746031746035,0.0008773479361714655,1.2398446880015468,0.015164217275832087,0.0011916942938927913,7,0.003034,340.5,275.0,255.0,308.0,373.0,310.3
明日,26,0.04126984126984127,0.0038820332937980003,1.1917902225227466,0.007505645334231118,0.0013725775813966062,9,0.003901,378.5,114.0,332.0,422.0,306.0,310.5
相忆,37,0.05873015873015873,0.00010094127741186565,1.1851655960213021,0.020020722574350606,0.0017177922849234677,4,0.001734,280.0,439.0,349.0,251.0,242.0,312.2
光辉,29,0.046031746031746035,0.003210437328084387,1.2029645422821404,0.009108448535261986,0.0011603694298659563,30,0.013004,340.5,134.0,313.0,398.0,380.0,313.1
秋色,31,0.049206349206349205,0.0009029197264491379,1.2365547973860802,0.010498356497355274,0.00126282939781953,11,0.004768,324.5,269.0,260.0,370.0,343.0,313.3
黄叶,32,0.050793650793650794,0.0004693769399651752,1.2092643724463323,0.015690897043022855,0.0013087710891618422,11,0.004768,314.5,336.0,300.0,297.0,330.0,315.5
河汉,33,0.05238095238095238,0.00031544149191208015,1.2308085974082672,0.01620657211764708,0.0012442162631481886,8,0.003468,303.5,367.5,271.0,284.0,353.0,315.8
多情,42,0.06666666666666667,5.047063870593282e-06,1.095378226486119,0.03212031635800196,0.0019974958850707595,2,0.000867,251.0,525.0,445.0,178.0,185.0,316.8
十载,34,0.05396825396825397,0.00013879425644131526,1.2091738476686473,0.018850964884780937,0.001360918593080096,6,0.002601,295.0,424.0,301.0,258.0,308.0,317.2
寒食,33,0.05238095238095238,0.0006217982688570924,1.1950647468059001,0.01266009260569505,0.001386549039791678,8,0.003468,303.5,314.0,328.0,340.0,302.0,317.5
走马,29,0.046031746031746035,0.0009118362059538529,1.223047261000025,0.013068505512675231,0.0012023009584028678,8,0.003468,340.5,268.0,278.0,333.0,370.0,317.9
殷勤,27,0.04285714285714286,0.0021428992017227316,1.2182298867204961,0.009085734703377802,0.0012186067628753526,10,0.004335,365.5,180.0,288.0,400.0,364.0,319.5
辛苦,30,0.047619047619047616,0.000694391870862459,1.237477547295773,0.012637219337139027,0.0011937684762847076,12,0.005202,332.5,301.0,259.0,341.0,372.0,321.1
清明,31,0.049206349206349205,0.000752012516718399,1.2215401764496172,0.011165262796582046,0.0012773651153540416,10,0.004335,324.5,296.0,283.0,363.0,339.0,321.1
凉风,31,0.049206349206349205,0.0004592828122239887,1.2147383486568462,0.012163210693231724,0.001362790638724593,9,0.003901,324.5,339.0,292.0,347.0,307.0,321.9
婵娟,30,0.047619047619047616,0.00026833556245320947,1.2090437903340125,0.017954467348271597,0.001282958708026091,7,0.003034,332.5,380.0,302.0,263.0,337.0,322.9
物外,28,0.044444444444444446,0.0017580605815899933,1.2149585207086238,0.007030620735107362,0.001283663450328284,12,0.005202,352.5,202.0,291.0,436.0,336.0,323.5
潇湘,32,0.050793650793650794,0.0006119564943094355,1.175436875463101,0.012111529913058977,0.0014902232573146407,5,0.002167,314.5,317.0,360.0,348.0,279.0,323.7
仙人,26,0.04126984126984127,0.005522811727293519,1.1712042328614878,0.004715593966544483,0.0014170758243215009,22,0.009536,378.5,80.0,367.0,509.0,295.0,325.9
登临,32,0.050793650793650794,0.00044666515254750545,1.2050083866862271,0.011811925469034661,0.0013493926535430854,9,0.003901,314.5,341.0,309.0,354.0,312.0,326.1
春光,31,0.049206349206349205,0.0007032242326359972,1.2086759078982512,0.01302273454902642,0.0012116994363523138,11,0.004768,324.5,300.0,304.0,335.0,367.0,326.1
芳草,29,0.046031746031746035,0.0015968910086557146,1.1931209373782294,0.00993127258065288,0.0012131329425578085,12,0.005202,340.5,214.0,330.0,386.0,366.0,327.3
风烟,28,0.044444444444444446,0.003204044380514968,1.1989609712873417,0.006563107807627691,0.0011404236629119742,30,0.013004,352.5,135.0,319.0,446.0,392.0,328.9
雨雪,28,0.044444444444444446,0.0006670536082300788,1.199679719791379,0.01438059416104355,0.0012495009547496448,7,0.003034,352.5,308.0,317.0,318.0,350.0,329.1
苍生,32,0.050793650793650794,0.00017412370353546823,1.1814483024055327,0.016820973737370883,0.0013955454641963625,6,0.002601,314.5,406.5,352.0,277.0,298.0,329.6
别后,33,0.05238095238095238,0.0002981973570208864,1.2146726720906211,0.011670086203378652,0.0013151035461157804,12,0.005202,303.5,372.0,293.0,357.0,326.0,330.3
玲珑,29,0.046031746031746035,0.0004895651954475484,1.1601351402017057,0.018867152122364596,0.001242298489079314,8,0.003468,340.5,329.5,381.0,257.0,356.0,332.8
太守,31,0.049206349206349205,0.00042142983319453904,1.166675788342923,0.014936762090921226,0.0013783001749720777,5,0.002167,324.5,349.0,374.0,313.0,304.0,332.9
笙歌,26,0.04126984126984127,0.0011465306843458103,1.2205979436919685,0.010330410872616633,0.0011615637333480748,8,0.003468,378.5,250.0,284.0,373.0,379.0,332.9
白云,23,0.03650793650793651,0.008201478789714084,1.1203789729180784,0.011936128634888627,0.0009557094667984428,99,0.042913,403.0,39.0,422.0,351.0,450.0,333.0
