词,出现次数,文档频次,文档概率
万户,45,45,0.002938
关山,45,45,0.002938
行路,45,34,0.002220
秋草,45,45,0.002938
曲江,45,45,0.002938
风动,45,45,0.002938
佳期,45,44,0.002873
鸟飞,45,45,0.002938
愁人,45,43,0.002808
永日,45,45,0.002938
独坐,45,44,0.002873
罗衣,44,40,0.002612
梅花,44,44,0.002873
他人,44,42,0.002742
玉堂,44,44,0.002873
道士,44,44,0.002873
风尘,44,44,0.002873
江城,44,44,0.002873
鱼龙,43,43,0.002808
携手,43,42,0.002742
千金,43,43,0.002808
叶落,43,42,0.002742
功名,43,43,0.002808
含情,43,43,0.002808
双飞,43,42,0.002742
御沟,43,43,0.002808
云间,43,43,0.002808
得意,43,43,0.002808
千门,43,43,0.002808
始知,43,43,0.002808
君恩,42,41,0.002677
西山,42,42,0.002742
世上,42,42,0.002742
莺啼,42,42,0.002742
思归,42,42,0.002742
万事,42,42,0.002742
九天,42,38,0.002481
微风,42,42,0.002742
淹留,42,42,0.002742
所以,41,37,0.002416
楚水,41,41,0.002677
玉树,41,40,0.002612
骨肉,41,41,0.002677
长江,41,41,0.002677
柳色,41,40,0.002612
红粉,41,40,0.002612
苦辛,41,41,0.002677
菊花,41,40,0.002612
巫峡,41,41,0.002677
阙下,41,41,0.002677
交亲,41,41,0.002677
雨雪,40,39,0.002546
瑶池,40,40,0.002612
白马,40,40,0.002612
闻道,40,40,0.002612
风飘,40,40,0.002612
同心,40,40,0.002612
渭水,40,40,0.002612
随风,40,40,0.002612
经过,40,40,0.002612
双阙,40,39,0.002546
重阳,40,40,0.002612
武陵,40,40,0.002612
孤城,40,40,0.002612
蛾眉,39,38,0.002481
百里,39,39,0.002546
台上,39,39,0.002546
路难,39,28,0.001828
承恩,39,35,0.002285
远客,39,39,0.002546
莲花,39,37,0.002416
丞相,39,39,0.002546
家贫,39,38,0.002481
山路,39,39,0.002546
满眼,39,39,0.002546
溪水,39,39,0.002546
梦里,39,39,0.002546
岁寒,39,39,0.002546
金谷,39,39,0.002546
湖上,39,39,0.002546
人稀,39,39,0.002546
东林,39,39,0.002546
黄花,38,38,0.002481
今年,38,36,0.002350
苍生,38,38,0.002481
大道,38,37,0.002416
云飞,38,38,0.002481
陌上,38,38,0.002481
杜陵,38,38,0.002481
遥知,38,38,0.002481
龙门,38,38,0.002481
君心,38,37,0.002416
北阙,38,38,0.002481
江海,38,38,0.002481
猿啼,38,38,0.002481
朝朝,37,37,0.002416
霓裳,37,23,0.001502
宫殿,37,37,0.002416
宫中,37,30,0.001959
昆仑,37,31,0.002024
霄汉,37,37,0.002416
猿声,37,37,0.002416
青苔,37,37,0.002416
汉家,37,36,0.002350
夫子,37,33,0.002155
星辰,37,37,0.002416
城中,37,37,0.002416
楚客,37,37,0.002416
心事,37,37,0.002416
芳菲,36,35,0.002285
富贵,36,36,0.002350
楼前,36,36,0.002350
秋天,36,36,0.002350
风波,36,36,0.002350
草绿,36,36,0.002350
寥落,36,36,0.002350
水清,36,35,0.002285
东山,36,36,0.002350
日落,36,36,0.002350
相望,35,35,0.002285
汉宫,35,35,0.002285
夜长,35,35,0.002285
苍梧,35,35,0.002285
扬州,35,34,0.002220
人皆,35,35,0.002285
山僧,35,35,0.002285
风烟,35,35,0.002285
青门,35,35,0.002285
物外,35,35,0.002285
咫尺,34,34,0.002220
山头,34,34,0.002220
光辉,34,34,0.002220
千秋,34,34,0.002220
闲居,34,34,0.002220
天寒,34,34,0.002220
明主,34,34,0.002220
花飞,34,32,0.002089
逢人,34,34,0.002220
空馀,33,33,0.002155
蛟龙,33,31,0.002024
生死,33,33,0.002155
君家,33,33,0.002155
萧索,33,32,0.002089
他乡,33,33,0.002155
昔时,33,32,0.002089
月光,33,32,0.002089
丹青,33,33,0.002155
杯酒,33,32,0.002089
苍茫,32,32,0.002089
相知,32,32,0.002089
骑马,32,31,0.002024
庭前,32,32,0.002089
松柏,32,31,0.002024
人世,32,31,0.002024
圣朝,32,32,0.002089
独行,32,32,0.002089
松风,32,32,0.002089
阳春,32,32,0.002089
未央,31,31,0.002024
金陵,31,31,0.002024
忆昔,31,30,0.001959
两相,31,30,0.001959
路傍,31,31,0.002024
日夜,31,30,0.001959
相访,31,31,0.002024
依然,31,31,0.002024
登高,31,31,0.002024
春深,31,31,0.002024
城下,30,30,0.001959
白露,30,30,0.001959
秋日,30,30,0.001959
阳台,30,30,0.001959
乔木,30,30,0.001959
鬼神,30,30,0.001959
归客,30,30,0.001959
行乐,30,30,0.001959
巫山,29,27,0.001763
咸阳,29,27,0.001763
清晨,29,29,0.001893
清净,29,29,0.001893
青松,29,29,0.001893
紫微,29,28,0.001828
新月,29,29,0.001893
寒山,29,29,0.001893
圣人,28,25,0.001632
万物,28,28,0.001828
窈窕,28,28,0.001828
对酒,28,28,0.001828
世事,28,28,0.001828
花间,28,27,0.001763
飞鸟,28,28,0.001828
帝城,28,28,0.001828
远近,27,27,0.001763
东海,27,27,0.001763
东方,27,27,0.001763
日晚,27,27,0.001763
老去,27,27,0.001763
望乡,26,25,0.001632
万国,26,26,0.001698
阳城,26,26,0.001698
万年,26,23,0.001502
江流,26,26,0.001698
月出,25,25,0.001632
丈夫,25,25,0.001632
汉水,25,25,0.001632
壮士,25,23,0.001502
竹林,25,25,0.001632
思君,25,25,0.001632
丹砂,25,25,0.001632
绿水,25,25,0.001632
老人,25,25,0.001632
文字,25,25,0.001632
昔日,25,25,0.001632
河汉,25,25,0.001632
单于,23,22,0.001436
桃源,23,23,0.001502
客心,23,23,0.001502
朝廷,23,23,0.001502
山阴,23,23,0.001502
劝君,23,21,0.001371
玲珑,22,22,0.001436
叹息,22,20,0.001306
黄鹤,22,22,0.001436
感激,22,22,0.001436
北斗,21,20,0.001306
飘飖,21,21,0.001371
今已,21,21,0.001371
风霜,21,20,0.001306
自言,21,21,0.001371
宁知,20,20,0.001306
长沙,20,20,0.001306
须臾,20,20,0.001306
宛转,19,19,0.001241
南宫,19,19,0.001241
日出,18,18,0.001175
日夕,17,17,0.001110
衣冠,17,17,0.001110
出入,16,13,0.000849
芳树,15,15,0.000979
意气,15,15,0.000979
送客,15,15,0.000979
欢娱,15,15,0.000979
氛氲,13,13,0.000849
尚书,12,12,0.000783
饮酒,11,11,0.000718
逶迤,8,8,0.000522
皎然,7,7,0.000457
