phrase,degree,degree_centrality,betweenness,closeness,eigenvector,pagerank,frequency,probability,degree_centrality_rank,betweenness_rank,closeness_rank,eigenvector_rank,pagerank_rank,avg_rank
蛟龙,20,0.031496062992125984,0.008808796376793595,1.1331833111650258,0.035940288391835024,0.002817399921856059,31,0.002024,74.0,61.0,91.0,120.0,78.0,84.8
萧索,24,0.03779527559055118,0.0064085049305745295,1.1239319036173772,0.03432409116987846,0.003369434432858059,32,0.002089,51.5,101.0,98.0,126.0,51.0,85.5
路傍,19,0.029921259842519685,0.007295263170967983,1.1697705047142108,0.04341721316077635,0.002549960703900648,31,0.002024,87.0,80.0,61.0,103.0,99.0,86.0
黄鹤,21,0.03307086614173228,0.014429071760351722,1.115740189280702,0.025318054611925173,0.0033537905984914198,22,0.001436,69.0,32.5,110.0,180.0,53.0,88.9
日夕,20,0.031496062992125984,0.010641098884721428,1.0968087537498443,0.03287042488371855,0.0030240086224402134,17,0.00111,74.0,46.0,135.0,131.0,63.0,89.8
玉楼,19,0.029921259842519685,0.006706574927345438,1.1510819118589573,0.05353972340474189,0.002421373022277935,61,0.003983,87.0,96.0,72.0,82.0,113.0,90.0
行路,20,0.031496062992125984,0.00963097278455335,1.109777021258997,0.03268988905221708,0.002887167400360439,34,0.00222,74.0,54.0,119.0,132.0,72.0,90.2
明主,19,0.029921259842519685,0.006935095258203135,1.1027113774719224,0.062327751561795756,0.0027152153867518103,34,0.00222,87.0,90.0,127.0,61.0,86.0,90.2
佳期,22,0.03464566929133858,0.010035023224620581,1.112144013647531,0.028600680724580357,0.0030189269920021925,44,0.002873,63.5,52.0,113.0,159.0,64.0,90.3
汉水,19,0.029921259842519685,0.011632181623984699,1.1417998172178083,0.02725037223373349,0.0028447577956929207,25,0.001632,87.0,45.0,81.0,164.0,76.0,90.6
山高,19,0.029921259842519685,0.007054323256911498,1.131514715127913,0.04253433568785662,0.0026356600227648475,47,0.003069,87.0,86.0,92.0,104.0,93.0,92.4
窈窕,20,0.031496062992125984,0.004207754787749323,1.1359334838853659,0.06165993835837193,0.0027175121701491613,28,0.001828,74.0,154.0,89.0,63.0,85.0,93.0
苍茫,19,0.029921259842519685,0.008201892744479496,1.1435024517755032,0.03124223157389637,0.002644415814925434,32,0.002089,87.0,66.0,80.0,142.0,90.0,93.0
南宫,20,0.031496062992125984,0.004091010705680717,1.110142158056495,0.0698373182874606,0.0029129180298797207,19,0.001241,74.0,156.0,117.0,51.0,69.0,93.4
微风,18,0.028346456692913385,0.00622469509923247,1.156660793659252,0.05431403102899954,0.002362255946476094,42,0.002742,102.0,104.0,66.0,79.0,119.0,94.0
瑶池,17,0.026771653543307086,0.00644162381910463,1.1250168528853324,0.07203166981874343,0.002394157277515048,40,0.002612,112.0,100.0,96.0,49.0,116.0,94.6
春来,17,0.026771653543307086,0.00729774708760774,1.1237709841025854,0.05274799860828103,0.002432020700148536,81,0.005289,112.0,79.0,99.0,83.0,111.0,96.8
千秋,19,0.029921259842519685,0.008037954246255495,1.1020608084144323,0.03194273467815954,0.0029840466545403353,34,0.00222,87.0,68.0,130.0,136.0,66.0,97.4
头白,18,0.028346456692913385,0.006701607094065923,1.106300783670373,0.05402290763548737,0.0026376101578427656,47,0.003069,102.0,97.0,121.0,80.0,92.0,98.4
月出,18,0.028346456692913385,0.006853126009091135,1.1374294757676569,0.03664752738555242,0.002573983462096503,25,0.001632,102.0,92.0,87.0,118.0,97.0,99.2
巫山,22,0.03464566929133858,0.00684815817581162,1.1116747409032812,0.02581579629685408,0.0034552773651427256,27,0.001763,63.5,93.0,116.0,176.0,49.0,99.5
青松,19,0.029921259842519685,0.0038202637919471424,1.1616479432617046,0.05497299200550364,0.0025425329779543127,29,0.001893,87.0,169.0,65.0,78.0,101.0,100.0
满地,17,0.026771653543307086,0.00674631759358156,1.1247902492028947,0.04131714458129437,0.002602352371117492,48,0.003134,112.0,94.0,97.0,109.0,96.0,101.6
汉宫,18,0.028346456692913385,0.006715682621691216,1.1440981781960768,0.03370438753221143,0.0024712105079764666,35,0.002285,102.0,95.0,79.0,128.0,105.0,101.8
玲珑,19,0.029921259842519685,0.00716030370020782,1.1048950815816423,0.029153082711941437,0.0028760313095709295,22,0.001436,87.0,83.0,122.0,155.0,73.0,104.0
蓬莱,19,0.029921259842519685,0.0027745348866092053,1.16873560476638,0.09832869630735765,0.0023401621926991503,59,0.003852,87.0,226.0,62.0,23.0,122.0,104.0
歌声,20,0.031496062992125984,0.002586585194200883,1.15562498898289,0.0743945458211256,0.002563201198900189,62,0.004048,74.0,236.0,68.0,45.0,98.0,104.2
夜长,18,0.028346456692913385,0.005494423607143744,1.1043897813745815,0.04661522803921023,0.0028028432439747646,35,0.002285,102.0,122.0,123.0,99.0,79.0,105.0
管弦,17,0.026771653543307086,0.005588812439454532,1.1410084145399504,0.04951054835637777,0.002239672681732716,62,0.004048,112.0,117.5,83.0,89.0,131.0,106.5
金陵,19,0.029921259842519685,0.00709075403429461,1.094235370931247,0.03142482027980497,0.0027990547068364835,31,0.002024,87.0,85.0,141.0,141.0,80.0,106.8
衣冠,22,0.03464566929133858,0.00320922029856678,1.077177180083882,0.06440524989234366,0.0032362392432565903,17,0.00111,63.5,196.0,173.0,58.0,56.0,109.3
闻道,19,0.029921259842519685,0.010072281974216946,1.0922156372512786,0.024344758526368387,0.0027459346170873706,40,0.002612,87.0,51.0,142.0,185.0,83.0,109.6
心事,18,0.028346456692913385,0.009190491567103007,1.0754277503292016,0.0333459441834751,0.002740587816499814,37,0.002416,102.0,57.0,177.0,130.0,84.0,110.0
走马,19,0.029921259842519685,0.0020467473111602376,1.1566024699353208,0.09019610807263512,0.002463401856013005,47,0.003069,87.0,260.0,67.0,28.0,108.0,110.0
忆昔,17,0.026771653543307086,0.004240045704066171,1.1483620261381304,0.05005791974968881,0.002275892563574992,30,0.001959,112.0,153.0,76.0,87.0,126.0,110.8
衣裳,16,0.025196850393700787,0.004257433120544474,1.1658104113541474,0.058394342118090935,0.00207875657806344,81,0.005289,122.5,151.0,64.0,69.0,148.0,110.9
圣朝,18,0.028346456692913385,0.007712561166447254,1.0787941843411735,0.03159679623173983,0.00269427087062754,32,0.002089,102.0,69.0,169.0,139.0,87.0,113.2
秋日,19,0.029921259842519685,0.0052311284433294416,1.1021930061733118,0.029814644576685978,0.0028495214547838983,30,0.001959,87.0,125.0,129.0,151.0,75.0,113.4
咫尺,15,0.023622047244094488,0.0073623289202414365,1.1188176267662702,0.032497070463609674,0.0023221555976944987,34,0.00222,136.0,76.0,105.0,134.0,123.0,114.8
美人,16,0.025196850393700787,0.0042425296207059295,1.1476332532016036,0.053731266197413446,0.0020255898007011607,110,0.007182,122.5,152.0,78.0,81.0,154.0,117.5
远近,15,0.023622047244094488,0.005650910355448471,1.1196127272623855,0.04233902151565102,0.002208119306441417,27,0.001763,136.0,116.0,103.0,106.0,135.0,119.2
日照,15,0.023622047244094488,0.004868476613924836,1.1127686145234987,0.055818606759227944,0.0021121891032963138,54,0.003526,136.0,134.0,112.0,75.0,141.0,119.6
垂杨,19,0.029921259842519685,0.005588812439454532,1.089405007044376,0.026777482774479076,0.00278630279875113,55,0.003591,87.0,117.5,148.0,169.0,82.0,120.7
