phrase,degree,degree_centrality,betweenness,closeness,eigenvector,pagerank,frequency,probability,degree_centrality_rank,betweenness_rank,closeness_rank,eigenvector_rank,pagerank_rank,avg_rank
夜长,87,0.13043478260869565,0.00048174111142626887,1.6668854485056313,0.05268686236241632,0.0018152957408280742,137,0.000885,119.5,642.0,324.0,72.0,97.0,250.9
古来,74,0.11094452773613193,0.0022736379557968763,1.6810414783349945,0.034463218929661095,0.0015134444847439328,185,0.001195,300.0,74.0,211.0,351.0,319.0,251.0
梦里,81,0.12143928035982009,0.0008509258884071477,1.6784499261780228,0.0448074228790081,0.0016511506578634615,119,0.000769,193.5,482.5,235.0,162.0,193.0,253.2
来往,76,0.11394302848575712,0.0016703360031695865,1.6771112394041143,0.036112162494126146,0.0015711921274698093,167,0.001079,272.0,179.0,241.0,315.0,260.0,253.4
望乡,80,0.1199400299850075,0.0009927468698083391,1.6761401210018874,0.04175242885991518,0.001660846987894295,120,0.000775,207.5,423.0,250.0,205.0,186.0,254.3
生涯,74,0.11094452773613193,0.0018796907852380116,1.6827833199782485,0.034962689262024726,0.0015136776367391776,184,0.001189,300.0,131.0,194.0,340.0,318.0,256.6
山僧,76,0.11394302848575712,0.002012507259883572,1.679531128089993,0.03159177444410721,0.00156866425375697,155,0.001001,272.0,109.0,228.0,413.0,262.0,256.8
相见,75,0.11244377811094453,0.0015802909356132744,1.6798733507465597,0.03914222653279053,0.001508298741195136,473,0.003056,286.0,209.0,224.0,244.0,323.0,257.2
世事,78,0.1169415292353823,0.001313907610759185,1.6803869039704182,0.036094387752652966,0.0015949212028116618,130,0.00084,235.5,283.0,216.0,317.0,235.0,257.3
远客,77,0.11544227886056971,0.0012989000994997996,1.6801012127227481,0.037669062425849054,0.0015815632492730421,117,0.000756,253.5,288.0,221.0,282.0,247.0,258.3
芳菲,77,0.11544227886056971,0.0012201106653880267,1.6682865846124955,0.04747065153099591,0.0015556401226423356,197,0.001273,253.5,325.0,310.0,128.0,275.0,258.3
昔日,76,0.11394302848575712,0.0016680848764806786,1.6732380687740083,0.036401641137383804,0.0015717308263841162,112,0.000724,272.0,180.0,272.0,310.0,259.0,258.6
黄鹤,84,0.12593703148425786,0.0006955981468725097,1.6708507951958445,0.043490635670706254,0.0017522376423822286,118,0.000762,155.0,555.0,288.0,176.0,126.0,260.0
高台,84,0.12593703148425786,0.0006235620928274602,1.6680214902387083,0.048051758783559016,0.0017219031945822454,141,0.000911,155.0,589.0,316.0,115.0,143.0,263.6
绮罗,80,0.1199400299850075,0.0007991499745622684,1.6693242417046454,0.04843125575687759,0.0016493011992818212,140,0.000905,207.5,503.5,301.0,111.0,195.0,263.6
白蘋,78,0.1169415292353823,0.0009995002498750624,1.674502850459507,0.04295761598626855,0.0016138801392836272,142,0.000917,235.5,417.5,262.0,185.0,220.0,264.0
