node,pos_weight,neg_weight,type,tension
白,1.5308,0.0725,cross,0.04736085706819963
坤,0.0148,0.0,positive_only,0.0
肉,0.0,0.0122,negative_only,0.0
裴,0.0008,0.0,positive_only,0.0
激,0.0,0.0059,negative_only,0.0
边,0.0,0.0822,negative_only,0.0
兴,1.5248,0.0,positive_only,0.0
萧,0.0,6.0,negative_only,0.0
姑,0.0,0.0013,negative_only,0.0
壑,0.0,0.002,negative_only,0.0
鲈,0.0017,0.0,positive_only,0.0
丹,0.021900000000000003,0.0,positive_only,0.0
犬,0.0011,0.0,positive_only,0.0
远,0.0046,1.5821,cross,0.0029075279691549204
廷,0.0,0.0023,negative_only,0.0
业,1.5145,0.0,positive_only,0.0
啸,0.0018,0.0,positive_only,0.0
出,0.0003,0.0324,cross,0.009259259259259259
卧,0.0067,0.0,positive_only,0.0
夫,0.0166,0.0004,cross,0.024096385542168676
片,0.0,0.0041,negative_only,0.0
枝,0.008,0.028200000000000003,cross,0.2836879432624113
勤,0.0,0.012499999999999999,negative_only,0.0
气,1.5501,0.0,positive_only,0.0
画,1.5101,0.0139,cross,0.00920468843122972
句,1.5136,0.0005,cross,0.000330338266384778
朝,0.0348,0.007300000000000001,cross,0.20977011494252878
饮,0.0121,0.0,positive_only,0.0
枯,0.0,0.0033,negative_only,0.0
读,0.0,0.0117,negative_only,0.0
沟,0.0046,0.0,positive_only,0.0
时,0.0,1.5145,negative_only,0.0
皎,0.0,0.0139,negative_only,0.0
直,0.0,0.0032,negative_only,0.0
容,0.0,0.0099,negative_only,0.0
花,3.0382,3.0521000000000003,cross,0.995445758657973
随,0.0003,0.018,cross,0.016666666666666666
北,0.0191,0.0204,cross,0.9362745098039215
浦,0.0,0.0257,negative_only,0.0
拂,0.0085,0.0,positive_only,0.0
欢,1.5213,0.0,positive_only,0.0
乐,3.0269,0.0,positive_only,0.0
骑,0.0045,0.0,positive_only,0.0
徒,0.0,0.0076,negative_only,0.0
对,0.01,0.0143,cross,0.6993006993006993
肠,0.0,3.0604,negative_only,0.0
氛,0.0101,0.0,positive_only,0.0
晴,2.9992,0.0,positive_only,0.0
离,0.0,17.9722,negative_only,0.0
露,0.0207,0.055,cross,0.37636363636363634
醉,0.0173,0.0,positive_only,0.0
怜,0.0,0.0061,negative_only,0.0
冠,0.018,0.0,positive_only,0.0
攀,0.0005,0.0,positive_only,0.0
缕,0.0,0.004,negative_only,0.0
然,1.5149,0.028200000000000003,cross,0.018615090104957425
还,0.0044,0.0038,cross,0.8636363636363635
傍,0.0,0.0057,negative_only,0.0
去,1.4958,0.0546,cross,0.03650220617729643
嘶,0.0,0.0108,negative_only,0.0
况,0.0,0.0018,negative_only,0.0
才,0.0153,0.0,positive_only,0.0
净,0.0,0.0048,negative_only,0.0
荣,0.0,0.0033,negative_only,0.0
稚,0.0,0.0049,negative_only,0.0
桂,0.0008,0.011,cross,0.07272727272727274
绝,0.0,3.0,negative_only,0.0
欹,0.0,0.0136,negative_only,0.0
笙,0.0,0.0003,negative_only,0.0
辰,0.0188,0.0,positive_only,0.0
州,1.5185,0.0011,cross,0.0007243990780375371
满,12.0059,0.0184,cross,0.0015325798149243288
蘋,0.0,0.0113,negative_only,0.0
荒,0.0,1.5151,negative_only,0.0
变,0.0036,0.0,positive_only,0.0
利,0.0006,0.0,positive_only,0.0
动,0.0,0.0122,negative_only,0.0
宿,0.0,0.0022,negative_only,0.0
乔,0.0,0.0017,negative_only,0.0
声,0.0157,0.0984,cross,0.15955284552845528
但,0.0039,0.0,positive_only,0.0
早,0.0,0.0118,negative_only,0.0
鱼,1.5110000000000001,0.0014,cross,0.0009265387160820648
屋,0.011,0.0084,cross,0.7636363636363637
管,0.030699999999999998,0.0,positive_only,0.0
珠,1.5052,0.0058,cross,0.00385330853042785
都,0.0028,0.0,positive_only,0.0
斜,0.0,0.036199999999999996,negative_only,0.0
象,0.0071,0.0,positive_only,0.0
霓,0.0,0.01,negative_only,0.0
昨,0.0001,0.0062,cross,0.01612903225806452
争,0.0,0.0171,negative_only,0.0
夕,0.0011,0.0128,cross,0.0859375
阴,0.0305,0.0035,cross,0.11475409836065574
想,0.0025,0.0,positive_only,0.0
角,0.001,0.0,positive_only,0.0
罗,0.0,0.0070999999999999995,negative_only,0.0
岐,0.0,0.025799999999999997,negative_only,0.0
稀,0.0,0.0136,negative_only,0.0
日,3.0294,4.5907,cross,0.6598993617531095
尺,0.0065,0.0,positive_only,0.0
村,0.0,0.0159,negative_only,0.0
猿,0.0,0.0426,negative_only,0.0
影,0.0,0.0166,negative_only,0.0
群,0.0,1.493,negative_only,0.0
绮,0.0,0.0052,negative_only,0.0
淹,0.0054,0.0,positive_only,0.0
宾,0.0026,0.0,positive_only,0.0
美,3.0046999999999997,0.0,positive_only,0.0
怅,0.0,1.5046,negative_only,0.0
犹,0.0,0.0148,negative_only,0.0
国,0.0404,0.06670000000000001,cross,0.6056971514242877
守,0.0146,0.0,positive_only,0.0
忘,0.0,0.0009,negative_only,0.0
断,0.0,6.0604,negative_only,0.0
向,0.0,1.5152,negative_only,0.0
丝,0.029,0.0,positive_only,0.0
樵,0.0,0.0047,negative_only,0.0
贤,0.006,0.0,positive_only,0.0
沙,0.0,0.022000000000000002,negative_only,0.0
