社区ID,诗语,社区内度数,全局度数,全局综合排名,社区内重要性得分,社区内排名
0,惆怅,54,132,4.2,292.0952380952381,41
0,百花,54,98,72.0,67.88888888888889,42
0,楼上,54,100,105.9,63.44287063267233,43
0,君恩,54,93,129.1,61.745933384972886,44
0,楼前,54,94,163.1,60.131207847946044,45
0,风光,54,87,167.7,59.963029218843175,46
0,花前,54,90,196.7,59.083884087442804,47
0,可怜,54,78,228.7,58.37254044599913,48
0,蛾眉,53,111,30.1,86.22259136212625,49
0,无限,53,93,70.1,67.26533523537803,50
0,翡翠,53,69,396.6,55.52143217347454,51
0,黄昏,52,90,124.5,60.032128514056225,52
0,金谷,52,86,173.9,57.75043128234618,53
0,曲江,52,81,202.9,56.92853622474125,54
0,桃花,52,74,285.2,55.506311360448805,55
0,花枝,51,93,68.9,65.51378809869375,56
0,满地,51,96,81.6,63.254901960784316,57
0,王孙,51,90,119.5,59.36820083682008,58
0,花飞,51,88,144.6,57.91562932226833,59
0,去年,51,83,152.9,57.540222367560496,60
0,细雨,51,86,162.3,57.16142945163278,61
0,双飞,51,83,165.4,57.0459492140266,62
0,含情,51,84,214.5,55.66200466200466,63
0,年华,51,77,240.6,55.15627597672486,64
0,芳菲,51,77,258.3,54.871467286101435,65
0,柳色,50,93,81.3,62.30012300123001,66
0,愁人,50,96,135.8,57.36377025036819,67
0,千门,50,84,209.5,54.77326968973747,68
0,芳树,50,84,228.7,54.37254044599913,69
0,佳人,50,76,303.7,53.292723081988804,70
0,梧桐,49,93,68.3,63.64128843338214,71
0,春日,49,79,181.4,54.512679162072764,72
0,月明,49,84,196.2,54.09683995922528,73
0,无力,49,83,220.4,53.53720508166969,74
0,绮罗,49,80,263.6,52.79362670713202,75
0,春水,48,92,94.1,58.62699256110521,76
0,花下,48,83,157.0,54.36942675159236,77
0,花时,48,82,161.8,54.18046971569839,78
0,游人,48,84,171.1,53.84453535943892,79
0,绿杨,48,88,195.8,53.10725229826353,80
0,未央,48,89,242.2,52.12881915772089,81
0,窈窕,47,70,395.8,49.526528549772614,82
0,风吹,46,83,123.5,54.097165991902834,83
0,无情,46,87,152.9,52.540222367560496,84
0,管弦,46,80,209.9,50.76417341591234,85
0,草绿,46,82,249.3,50.01123144805455,86
0,花发,46,77,293.0,49.41296928327645,87
0,风起,45,90,89.2,56.210762331838566,88
0,佳期,44,93,73.3,57.64256480218281,89
0,伤心,44,92,81.7,56.23990208078335,90
0,笙歌,44,80,184.1,49.43183052688756,91
0,日照,44,78,199.3,49.01756146512795,92
0,凤凰,44,68,342.5,46.91970802919708,93
0,清明,44,70,382.0,46.617801047120416,94
0,依旧,43,98,44.6,65.42152466367713,95
0,花开,43,84,154.6,49.46830530401035,96
0,梦魂,43,84,175.8,48.68828213879409,97
0,绿水,43,87,223.7,47.47027268663388,98
0,梅花,43,77,267.2,46.74251497005988,99
0,晚来,43,76,328.2,46.04692260816575,100
0,高楼,42,101,45.9,63.78649237472767,101
0,江水,42,96,67.8,56.74926253687316,102
0,明月,42,91,88.1,53.35073779795687,103
0,鹧鸪,42,86,192.0,47.208333333333336,104
0,御沟,42,85,203.2,46.92125984251969,105
0,高台,42,84,263.6,45.79362670713202,106
0,巫山,42,78,275.1,45.63504180298074,107
0,两相,42,77,321.2,45.11332503113325,108
0,牡丹,42,73,328.3,45.04599451720987,109
0,草色,41,102,69.7,55.347202295552364,110
0,月落,41,94,101.2,50.88142292490119,111
0,朝朝,41,86,115.1,49.68809730668983,112
0,独自,41,80,182.3,46.48546352166758,113
0,九重,41,76,276.9,44.61141206211629,114
0,阳台,41,76,327.2,44.0562347188264,115
0,玉堂,41,72,339.2,43.948113207547166,116
0,楼台,40,83,180.2,45.549389567147614,117
0,云飞,40,83,207.3,44.82392667631452,118
0,宫殿,40,80,322.1,43.104625892579946,119
0,宛转,40,64,471.8,42.11954217888936,120
0,万户,39,84,204.5,43.88997555012225,121
0,有情,39,73,229.8,43.351610095735424,122
0,夜长,39,87,250.9,42.985651654045434,123
0,北阙,39,70,381.7,41.61985852763951,124
0,随风,39,62,449.2,41.226179875333926,125
