词,出现次数,文档频次,文档概率
圣人,29,28,0.001976
晚来,29,29,0.002047
昔日,29,29,0.002047
吾道,28,28,0.001976
巫山,28,26,0.001835
汉宫,28,28,0.001976
御沟,28,28,0.001976
阳台,27,27,0.001906
高台,27,27,0.001906
北斗,27,27,0.001906
壮士,27,26,0.001835
绮罗,26,26,0.001835
封侯,26,26,0.001835
关河,26,26,0.001835
衣冠,26,26,0.001835
岁寒,26,26,0.001835
干戈,25,25,0.001765
金陵,25,25,0.001765
玉堂,25,25,0.001765
玉楼,24,24,0.001694
高秋,24,24,0.001694
黄鹤,24,24,0.001694
梦魂,23,23,0.001623
鱼龙,23,23,0.001623
他乡,23,23,0.001623
野花,23,22,0.001553
昔时,22,22,0.001553
松风,22,22,0.001553
罗衣,21,21,0.001482
瑶池,20,20,0.001412
斜阳,20,20,0.001412
他年,20,20,0.001412
窈窕,18,18,0.001271
英雄,16,16,0.001129
中原,13,13,0.000918
皎然,5,5,0.000353
